seed,family,ig_slack_max,ig_slack_median,ig_quad_tol,ig_residual_max,ig_violations,gi_slack_median,gi_slack_p90,gi_exceeds_one,gi_exceeds_one_preserved,coal_ratio_median,eps_coal_median,eps_data_median,n_probe
5,covariate,1.0000620639411522,0.9762067761267381,6.507899354486227e-05,2.8720806901638696e-06,0,1.2217429405584648,1.5859467433744112,0.834,0.8184210526315789,1.6620677700630053,0.4916468799114224,0.3053874373435974,500
5,concept,1.0000408842452337,0.999997735596145,6.509411336824033e-05,3.463899118649749e-06,0,1.1965098927274904,1.6595445582835235,0.718,0.6746987951807228,1.7451033190859375,0.7051984015107153,0.3692018836736679,500
5,shortcut,1.000009650747776,0.869488750965103,1.4158906980593027e-05,2.46380832991111e-06,0,1.073866480697692,1.6339316428249115,0.582,0.5817307692307693,1.5891943689239436,0.49067372053861624,0.3271560072898865,500
6,none,1.0000195585412406,0.878886202288138,3.9639434663203804e-05,1.8325590688261784e-06,0,1.0316568956605217,1.4025405095335515,0.536,0.5316973415132924,1.4370583699890367,0.16900603462010627,0.11042600870132446,500
6,covariate,1.0001242106702535,1.0000000414817145,0.00016572378428910293,2.1677884551873916e-06,0,1.177708731902853,1.7606722648574313,0.774,0.7511848341232228,1.1736895626723727,0.41622882843017606,0.32480013370513916,500
6,concept,1.000038591818101,0.9999972425840875,3.859181810105192e-05,1.5243741747772432e-06,0,1.059655012193254,1.4283462508173144,0.594,0.6077844311377245,1.5535260296404618,0.4615472828224303,0.2766336500644684,500
6,shortcut,1.0000249544785218,0.9999894458225286,2.4954478521883443e-05,2.82101905824117e-06,0,1.1584339562997683,1.5841106573511121,0.72,0.7419354838709677,1.5427313255568618,0.4247628676146269,0.27559351921081543,500
7,none,1.0001474071197802,0.9999798284772069,0.00023304914224149485,2.304707535150108e-06,0,1.1340376042377394,2.0533038088627897,0.632,0.6275303643724697,1.9955609122244544,0.15476345837116257,0.08353742957115173,500
7,covariate,1.000019290983503,0.9999994262569706,0.00010768671014398393,2.0852636682944237e-06,0,1.1706404181786096,1.567472647574042,0.772,0.7411764705882353,1.4900332635848896,0.32339295268058754,0.20870459079742432,500
7,concept,1.000023001642422,0.9833519921349301,2.677255162335909e-05,3.1359452421497735e-06,0,0.9977656475418346,1.3575842060856804,0.498,0.5283018867924528,1.7403429939873845,0.49207199037075045,0.24038612842559814,500
7,shortcut,1.0000178783113611,0.9453486439980168,5.039933757272443e-05,2.767612958351484e-06,0,0.9985474999129968,1.467861568201605,0.498,0.5066371681415929,1.652652283532864,0.6180526280403136,0.285261869430542,500
8,none,1.0000190398387725,0.8384602279708865,2.2540268377526993e-05,2.579446825856646e-06,0,0.9536460925291751,1.2410472752663695,0.438,0.41201716738197425,2.6792090267784467,0.26509925968945014,0.10913684964179993,500
8,covariate,1.0000208028570097,0.9929001581209804,0.0001370418094827596,2.258674263844185e-06,0,1.2132953906715365,1.746719036912814,0.784,0.7837837837837838,1.2903868261516624,0.4420994377136229,0.31895290315151215,500
8,concept,1.0000126952096382,0.9674293605904027,2.4475183615343354e-05,1.8104223097614724e-06,0,1.0876352989845772,1.4754498901321993,0.624,0.6296296296296297,1.9118702679547448,0.5125670307874679,0.260982483625412,500
8,shortcut,1.000023285961362,0.9373941681927889,4.743436366914304e-05,2.689262818766913e-06,0,1.0271269109203605,1.5138188512374091,0.546,0.5733333333333334,1.6029698263884078,0.4470977358520033,0.26883170008659363,500
9,none,1.000032064143083,0.9127002758111644,8.841524451537877e-05,3.0395897689938778e-06,0,1.183099210180933,1.7536986427624575,0.684,0.6789366053169734,1.8672041058331685,0.17695982605218885,0.10482600331306458,500
9,covariate,1.000043945990857,0.9999999279654677,4.394599085708081e-05,4.178973000756869e-06,0,1.548105563911454,2.279823685824666,0.804,0.7816901408450704,1.369431146306693,0.3996557068824772,0.30208611488342285,500
9,concept,1.0000217836309813,0.9999893547910634,3.216202261164764e-05,2.312335502352436e-06,0,1.248953748135695,1.6065997966063872,0.796,0.7613293051359517,1.6782626961158007,0.5704025572165845,0.34881991147994995,500
9,shortcut,1.0000118272193907,0.9167292878605733,1.4074494562198663e-05,2.86212573663569e-06,0,1.1659800096293738,1.6077531848773805,0.734,0.7444933920704846,1.4341821724115429,0.43049370363354666,0.3036673069000244,500
