shift,explainer,nu,rho_null,rho_seed,omega,delta,delta_lo,delta_hi,ratio,ratio_lo,ratio_hi,ratio_seed,uec,uec_lo,uec_hi,exceedance,preserved,n_seeds
covariate,KernelSHAP,0.072975631707994,0.027621952412970795,0.1161223139781326,0.0,0.03878840886597709,0.03574741040616068,0.04206070857998768,1.4042602161519444,1.27460467043564,1.555622755753227,0.33539038585272213,-0.034187222842016904,-0.03838548959278295,-0.02980614181903856,0.0,0.7620000000000001,10
covariate,LIME,0.05634892525630406,0.030323206806633207,0.06990733110846876,0.0,0.03794680029007087,0.03462797808514135,0.04127059123159146,1.2514111891942117,1.1443294707369727,1.3751878663649024,0.5565693961207328,-0.01840212496623319,-0.02160927715167793,-0.015081800756148478,0.0,0.7620000000000001,10
covariate,Saliency,0.0,0.025209990144353867,0.20193438088086121,0.0,0.043604922682928524,0.03997780242260608,0.047232418369825536,1.7296683748483916,1.5826522475538682,1.895265962259268,0.21643984642930514,0.018394932538574656,0.01535712349930723,0.021562106279897093,0.7489592051710399,0.7948000000000001,10
covariate,SmoothGrad,0.015748185011690834,0.02526993516683932,0.19982800733615194,0.0,0.04363241186861732,0.040006896006160204,0.047268442539386314,1.7266530990500644,1.5785852787006995,1.8938806918930833,0.21885098433173056,0.018362476701778003,0.015287938393542325,0.021566488445921034,0.7188408777243848,0.7948000000000001,10
none,EG,0.15672136129145123,0.15884686029824485,0.19479463801589603,0.0,0.1588684802885159,0.1552129046269147,0.1625629696194915,1.0001361058709657,0.9933143805037211,1.0069335686831704,0.816026803563479,-0.00037385765425473894,-0.0012547161553241395,0.0003750795560919692,0.054745516124172035,0.9512,10
none,Grad$\times$Input,0.0,0.026486002758382126,0.18266288113745455,0.0,0.02717407676332727,0.024151129481843857,0.030143881490992744,1.025978778724071,0.895715025417847,1.1785981399757177,0.1487181758314393,0.000688074004945146,-0.002909721336505566,0.004500028911778672,0.16520021087143238,0.9512,10
none,IG,0.0,0.028187109990117604,0.12374617598019907,0.0,0.02909781533290498,0.02571505411735525,0.032445711500878306,1.0323092840346764,0.8929624359315244,1.1931924668788645,0.23775245631629174,0.0009107053427873733,-0.0032093978146544894,0.005160630651853327,0.19217413485296903,0.9512,10
none,KernelSHAP,0.06949171236990379,0.02959691755002968,0.11665815380189418,0.0,0.03125633071134641,0.027825013370601937,0.03479946741483315,1.056067094098962,0.9199336577629373,1.219835217955451,0.2682415354266919,-0.038235381658557374,-0.04167460834301812,-0.03448732979600265,0.0,0.96,10
none,LIME,0.055445325916348695,0.03040818338226004,0.06834079188006952,0.0,0.032893365290359515,0.029039390477121587,0.037070760683736124,1.0817274046548047,0.9468009847223302,1.2404331606245138,0.488394861271592,-0.022551960625989183,-0.026130141387580134,-0.018104323682830603,0.0,0.96,10
none,Saliency,0.0,0.025571565305118348,0.18050540691693423,0.0,0.02628086992950098,0.02337038232557896,0.029174029072657242,1.0277380213498568,0.8986008301628303,1.1751492935785177,0.14550767105961193,0.0007093046243826281,-0.00268194190721227,0.00430567448281205,0.20920963494361505,0.9512,10
none,SmoothGrad,0.015621374428201634,0.025651352448985244,0.17848998775509162,0.0,0.026359205851186417,0.023438956860398034,0.029262053061715077,1.0275951688554799,0.8982352292746978,1.1754259439687644,0.1475926665936322,0.0007078534022011768,-0.002698776659276007,0.004312417344322951,0.1894009270874946,0.9512,10
shortcut,EG,0.15321475894389355,0.15633876013264167,0.18503601103676662,0.3255779731216982,0.15879753555377762,0.15362794747102432,0.16463252464164846,1.0157272286095262,1.0089090420296012,1.022719654712859,0.8579702620440395,-0.32330207148744394,-0.3285474268591487,-0.3177660806023703,0.05459259828235631,0.8657999999999999,10
shortcut,Grad$\times$Input,0.0,0.023253398908369867,0.15332291894479216,0.3255779731216982,0.03650473700561184,0.034817017038036635,0.0384677968747191,1.5698667170962377,1.4121203333905799,1.76361222457382,0.23896030682135433,-0.3123266350244563,-0.31768566213922683,-0.3071407428264415,0.5665406243212922,0.8657999999999999,10
shortcut,IG,0.0,0.024691857744496976,0.105093167941353,0.3255779731216982,0.03858315102791917,0.0366375181964551,0.04078642389199086,1.5625859919964151,1.3870193046874821,1.775030028987554,0.36971090449105387,-0.311686679838276,-0.3171198476345761,-0.30638003859405105,0.6442904367924339,0.8657999999999999,10
shortcut,KernelSHAP,0.05559064462192285,0.026104884538032346,0.09887600766405441,0.3144490463484644,0.04150926648832871,0.039300524003612065,0.04399692622191595,1.5900957703089487,1.4255438879313216,1.8007302320349292,0.4204723959323545,-0.3285304244820585,-0.33537338180090637,-0.32194821898485626,0.0,0.8739999999999999,10
shortcut,LIME,0.03913562675288991,0.02404003266387395,0.05687228684931696,0.3144490463484644,0.04463101099383496,0.04157152777629311,0.04787653516306414,1.856528716822586,1.6755057372187545,2.0815580866378403,0.8061806668621188,-0.30895366210751934,-0.31582579723545917,-0.302536409003967,0.23053458169737237,0.8739999999999999,10
shortcut,Saliency,0.0,0.021634409034668678,0.14756624346396044,0.3255779731216982,0.03664379084218759,0.0351126999413289,0.03845673213834205,1.693773598505358,1.5426269166330175,1.8827847249489864,0.24930246903259734,-0.31056859131417935,-0.3159453704526442,-0.30532641609965305,0.889319207321701,0.8657999999999999,10
shortcut,SmoothGrad,0.011797642520514597,0.021679803963907816,0.14589709105049856,0.3255779731216982,0.03671616205171952,0.03516791965114253,0.03854571928503819,1.6935652237835725,1.5415365978323754,1.8837806812034994,0.25264454406744635,-0.31054161503388655,-0.3159123897125423,-0.30529804932117816,0.8818760269285052,0.8657999999999999,10
