family,update_epochs,explainer,fass_distance,delta_audit_jsd,delta_audit_spurious,ros_mean,ros_max,omega,uec,ratio
concept,400,kernel_shap,0.30279515476265956,0.08377549249766335,0.1022472639694589,2.057782878275177,63.0082759124129,0.12405847653299455,-0.08661970422249772,1.1436076738502183
covariate,2,gradient_x_input,0.0765457781494832,0.009475629823676392,0.043397141019253474,2.8850185991327186,630.1626495547137,0.0,0.025930351079953312,1.5220475635289945
covariate,2,integrated_gradients,0.06943498302625875,0.008973200734188632,0.032494599221611506,2.0327157755710976,403.6399447337552,0.0,0.017753325944491135,1.351552559977826
covariate,2,kernel_shap,0.07219434694005558,0.010223754938120704,0.031766280954490425,1.9621870506364494,371.53702503918123,0.0,0.01811078597205506,1.3490334689453167
covariate,20,gradient_x_input,0.1700899378456595,0.03612398845467143,0.08579142439932842,2.1205629904503036,154.00054095794675,0.0,0.025710821919459358,1.17862927446515
covariate,20,integrated_gradients,0.12668657613238224,0.025176127110236746,0.056599957856166616,1.5107382611569329,109.51433747379576,0.0,0.009563301983480979,1.0866049748018771
covariate,20,kernel_shap,0.12497448568258895,0.02583957664420189,0.053876362288031845,1.4552903878565042,111.18659064519682,0.0,0.010649508072837327,1.0997605169425513
covariate,100,gradient_x_input,0.24558913559850265,0.0647324527158192,0.11190648748881057,4.977343711701342,656.6086371886216,0.0,0.01074649919781468,1.0476693613796157
covariate,100,integrated_gradients,0.1922999817690997,0.0453787263041565,0.080040737193617,4.811711397855754,673.4297733872546,0.0,0.015138723343393907,1.087132752106648
covariate,100,kernel_shap,0.1895300745231853,0.045557675376653575,0.07895271512899667,4.706337979548503,662.0205406137944,0.0,0.025742679019243854,1.1613281033110345
covariate,400,gradient_x_input,0.3378387245376719,0.10291645015235937,0.1399631799393038,0.44330861065379434,21.27892411385907,0.0,-0.006240143524038,0.9905947545366327
covariate,400,integrated_gradients,0.32501293486661986,0.09560767137207198,0.1334250214517997,0.4888022353865198,25.314221629616647,0.0,-0.018697991032145877,0.9599733449269277
covariate,400,kernel_shap,0.2776049141700824,0.07623314518786913,0.10846859043350654,0.4191375932956761,22.937175721326454,0.0,0.025874353728728382,1.1111725395023124
shortcut,2,gradient_x_input,0.07910513097202015,0.00869438838984463,0.026475593137228172,0.517393075211539,34.42314782816118,0.32846142732255257,-0.29985124663362483,1.5797579536848523
shortcut,2,integrated_gradients,0.08235196304938015,0.009877100107203189,0.02187449427583613,0.5542569665716873,40.42429428114354,0.32846142732255257,-0.2993171088994651,1.5635881015124893
shortcut,2,kernel_shap,0.08449159436143329,0.010713326987260305,0.022048135965851635,0.5504900407480122,41.188404495229406,0.32846142732255257,-0.2984433368763154,1.5627711414420637
shortcut,20,gradient_x_input,0.24105065825737015,0.06439334295001314,0.11202027265892378,1.379040018676302,61.847306272216215,0.23204622606732492,-0.11987414615342354,1.875394884581958
shortcut,20,integrated_gradients,0.23559939344072678,0.06284254390977095,0.12127250432433571,1.2944344977466495,58.048838758790225,0.23204622606732492,-0.10853540494187923,2.110688127901089
shortcut,20,kernel_shap,0.23974163161826684,0.06539117387805936,0.1255820968447166,1.1995785490015458,46.38214184434978,0.23204622606732492,-0.10566806924883079,2.1214094482882824
shortcut,100,gradient_x_input,0.2994281778676942,0.09064160778148299,0.13726352419344034,1.1630210266252117,34.44394908783306,0.2465214192388024,-0.1581309885136876,1.4225791865814545
shortcut,100,integrated_gradients,0.2786037728617551,0.08685993840798485,0.151208652025766,1.1711638399478814,40.01995920945113,0.2465214192388024,-0.14320352163315006,1.6002230179902692
shortcut,100,kernel_shap,0.2832170810750662,0.09076020316180612,0.15780526548438106,1.1254388068241992,37.474179712904096,0.2465214192388024,-0.13500495373250768,1.659282515466284
shortcut,400,gradient_x_input,0.38949234885973893,0.12975738343611712,0.1402436175336562,0.9200886195319734,40.607121236916214,0.3343960167444717,-0.2773779496123109,1.1746334137036818
shortcut,400,integrated_gradients,0.38732185386670726,0.13254179530782148,0.14426827448187513,0.9915139263808816,47.76300063928191,0.3343960167444717,-0.26303141501929916,1.2314005029719497
shortcut,400,kernel_shap,0.3495869216437387,0.1195911589837215,0.14837653016328317,0.9131386158051036,48.32325538180841,0.3343960167444717,-0.2365174143247058,1.3934625341685982
